EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58880001;1;01/09/2020;;1;1;408,719;141,971;199,682;24;17;1;1;1;0;0;200,322;200,322;180,604;201,998;185,463;220,772;175,791;185,463;193,667;195,323;203,68;190,37;190,37;190,37;174,197;188,729;141,971;146,427;171,025;169,448;164,746;153,964;333,387;408,719;293,993;256,432;185,463;187,094;152,446;147,923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58880001;1;01/08/2020;;1;1;276,86;183,838;216,461;4;24;1;1;1;;0;252,779;256,432;265,647;276,86;258,265;243,731;240,145;201,998;187,094;193,667;205,366;212,163;201,998;198,65;208,755;213,875;267,504;234,803;208,755;205,366;203,68;196,984;225,997;183,838;183,838;198,65;196,984;193,667;195,323;208,755;188,729;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58880001;1;01/06/2020;;1;1;378,763;247,335;293,358;3;5;1;1;1;;0;273,103;286,332;378,763;349,643;247,335;319,395;290,154;299,787;315,437;327,364;333,387;311,498;301,728;290,154;263,794;273,103;269,366;295,92;293,993;284,429;276,86;288,241;267,504;256,432;288,241;286,332;273,103;267,504;295,92;295,92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58880001;1;01/05/2020;;1;1;527,044;276,86;384,164;27;24;1;1;1;0;0;378,763;382,991;357,877;362,019;370,357;382,991;389,366;391,5;408,719;404,389;400,076;368,266;385,112;389,366;389,366;430,62;428,411;357,877;347,596;331,375;335,404;335,404;295,92;276,86;370,357;455,187;527,044;439,496;496,445;366,179;353,751;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58880001;1;01/04/2020;;1;1;1420,033;292,071;599,151;2;28;1;1;1;;0;963,729;1420,033;1246,728;828,181;710,842;580,324;519,924;663,682;910,937;643,102;548,615;643,102;674,06;650,792;592,692;625,288;592,692;455,187;457,445;435,05;430,62;459,707;437,271;410,891;406,552;406,552;343,514;292,071;313,465;311,498;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58880001;1;01/02/2020;;1;1;3193,301;580,324;1341,246;15;27;1;1;1;0;0;582,79;590,211;729,497;1243,476;1115,954;1396,228;1816,594;1615,67;1195,069;1057,155;934,266;975,607;1925,944;3181,984;3193,301;2386,051;1797,976;1655,168;1597,831;724,149;948,956;1081,771;1038,828;882,077;887,822;839,425;580,324;1201,483;1720,545;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
58880001;1;01/01/2020;;1;1;1801,694;366,179;833,415;27;22;1;1;1;;0;428,411;382,991;395,779;902,243;876,346;1141,056;1583,612;1604,958;1150,522;1041,874;847,894;718,815;553,451;661,096;729,497;726,822;568,052;543,794;710,842;658,515;558,302;366,179;519,924;560,734;984,55;1687,741;1801,694;671,46;560,734;960,768;937,198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58880001;1;01/12/2019;;1;1;1887,975;290,154;712,19;26;19;1;1;1;;0;575,404;627,822;674,06;635,445;480,246;357,877;515,196;650,792;605,154;480,246;327,364;1017,594;1137,907;1214,348;828,181;587,733;553,451;443,959;290,154;443,959;729,497;607,657;648,225;905,138;1812,865;1887,975;1014,574;658,515;617,71;452,933;295,92;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58880001;1;01/11/2019;;1;1;622,758;196,984;340,229;18;4;1;1;1;;0;273,103;288,241;267,504;196,984;240,145;241,935;249,145;233,032;241,935;225,997;224,25;227,748;280,635;271,232;280,635;286,332;337,425;622,758;389,366;313,465;397,925;592,692;519,924;494,119;477,948;622,758;489,478;315,437;250,96;353,751;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58880001;1;01/10/2019;;1;1;428,411;81,429;161,358;12;20;1;1;1;;0;240,145;192,016;177,39;187,094;182,218;143,451;112,21;160,093;164,746;143,451;166,308;428,411;234,803;171,025;140,496;150,933;109,51;93,819;88,787;81,429;91,29;131,769;172,609;147,923;98,951;97,659;190,37;175,791;175,791;178,994;172,609;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58880001;1;01/09/2019;;1;1;286,332;96,372;136,529;29;8;1;1;1;0;0;124,653;121,847;134,656;134,656;134,656;113,569;114,934;96,372;101,554;96,372;96,372;98,951;141,971;121,847;133,209;136,107;157,018;128,905;130,334;149,425;150,933;130,334;112,21;158,553;120,452;158,553;130,334;187,094;286,332;193,667;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58880001;1;01/08/2019;;1;1;234,803;104,182;150,657;9;31;3;3;3;0;0;133,209;172,609;127,482;153,964;155,488;144,936;141,971;175,791;234,803;152,446;124,653;139,028;143,451;174,197;160,093;163,19;160,093;174,197;137,565;140,496;140,496;144,936;150,933;169,448;153,964;143,451;144,936;136,107;131,769;140,496;104,182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
58880001;1;01/07/2019;;1;1;247,335;150,933;182,674;3;26;1;1;1;;0;164,746;171,025;247,335;188,729;188,729;222,508;178,994;185,463;224,25;207,058;175,791;171,025;169,448;195,323;178,994;192,016;180,604;180,604;174,197;171,025;178,994;193,667;174,197;178,994;164,746;150,933;152,446;187,094;160,093;195,323;158,553;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58880001;1;01/06/2019;;1;1;345,553;169,448;219,413;6;28;1;1;1;;0;229,504;233,032;222,508;245,531;229,504;345,553;201,998;227,748;240,145;260,103;207,058;188,729;233,032;227,748;249,145;183,838;180,604;207,058;196,984;222,508;224,25;185,463;192,016;203,68;190,37;261,947;208,755;169,448;205,366;208,755;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58880001;1;01/05/2019;;1;1;960,768;185,463;296,816;21;30;1;1;1;;0;250,96;210,456;219,04;249,145;240,145;227,748;245,531;252,779;276,86;265,647;236,579;364,097;238,359;205,366;267,504;317,414;323,37;349,643;417,43;421,81;960,768;441,725;231,266;247,335;261,947;271,232;234,803;250,96;293,993;185,463;241,935;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58880001;1;01/04/2019;;1;1;700,26;143,451;340,82;10;14;1;1;1;;0;325,365;301,728;317,414;295,92;307,576;284,429;284,429;582,79;395,779;700,26;534,199;473,363;274,979;143,451;339,45;288,241;351,695;376,655;430,62;397,925;282,53;292,071;261,947;241,935;282,53;337,425;327,364;297,851;249,145;245,531;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58880001;1;01/03/2019;;1;1;893,581;284,429;533,794;22;11;1;1;1;;0;508,135;756,452;819,785;884,948;751,033;689,737;627,822;387,237;417,43;376,655;284,429;319,395;351,695;359,946;345,553;385,112;480,246;558,302;531,81;873,485;856,394;893,581;740,237;645,661;529,425;376,655;335,404;385,112;341,48;370,357;364,097;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58880001;1;01/02/2019;;1;1;734,86;193,667;392,872;21;2;1;1;1;;0;201,998;193,667;200,322;200,322;207,058;236,579;317,414;343,514;610,165;389,366;374,551;290,154;286,332;345,553;575,404;385,112;303,673;274,979;455,187;620,232;734,86;674,06;459,707;415,246;527,044;391,5;366,179;620,232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;
58880001;1;01/01/2019;;1;1;742,93;164,746;368,635;3;26;1;1;1;;0;643,102;595,177;742,93;671,46;718,815;674,06;676,664;459,707;415,246;305,622;327,364;329,367;329,367;243,731;292,071;256,432;335,404;261,947;293,993;249,145;258,265;245,531;243,731;229,504;254,603;164,746;188,729;245,531;276,86;263,794;234,803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58880001;1;01/11/2018;;1;1;990,528;241,935;505,619;11;4;1;1;1;;0;261,947;256,432;258,265;241,935;311,498;343,514;364,097;400,076;580,324;808,638;990,528;620,232;527,044;393,637;282,53;370,357;370,357;496,445;413,066;501,109;963,729;987,537;597,665;770,062;692,362;524,666;452,933;512,839;452,933;421,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58880001;1;01/10/2018;;1;1;353,751;185,463;244,882;29;10;1;1;1;;0;303,673;195,323;205,366;192,016;213,875;201,998;193,667;213,875;208,755;185,463;213,875;261,947;276,86;299,787;307,576;236,579;240,145;260,103;247,335;249,145;241,935;290,154;297,851;247,335;229,504;243,731;252,779;213,875;353,751;319,395;193,667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
