EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58183000;1;01/04/2019;;1;1;136,637;58,195;79,576;9;2;1;1;1;;0;65,685;58,195;72,365;67,646;64,397;65,039;86,965;118,537;136,637;121,633;106,887;86,195;80,187;78,727;95,301;94,897;90,089;87,739;77,284;70,318;71,679;66,334;64,397;67,646;66,334;66,334;63,125;60,629;64,397;71,679;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/03/2019;;1;1;245,856;68,308;136,896;2;31;1;1;1;;0;230,316;245,856;238,901;236,026;215,171;189,236;138,968;136,637;125,658;131,561;132,019;141,315;144,151;132,938;137,102;129,278;132,938;152,303;141,786;134,32;124,759;118,978;106,042;97,332;89,301;80,923;75,858;74,449;72,365;68,974;68,308;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/02/2019;;1;1;163,108;78,004;118,288;28;1;1;1;1;;0;78,004;97,741;102,69;109,436;114,168;120,302;125,658;125,658;122,078;116,782;109,009;118,097;120,302;103,525;97,741;96,518;161,123;156,199;134,782;114,602;100,617;106,042;105,201;109,436;113,302;128,824;161,123;163,108;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58183000;1;01/01/2019;;1;1;154,247;66,988;104,47;8;31;1;1;1;;0;72,365;100,204;123,416;137,102;132,019;133,859;146,531;154,247;140,374;135,245;116,782;110,29;100,617;80,187;90,88;86,195;75,858;83,91;94,897;101,859;107,31;109,436;109,009;115,908;107,31;90,089;80,187;80,187;75,858;79,455;66,988;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/12/2018;;1;1;230,316;57,002;121,753;2;23;1;1;1;;0;227,482;230,316;210,76;183,996;184,517;188,184;195,6;196,668;178,297;168,617;152,788;137,102;118,978;101,859;85,429;67,646;64,397;78,004;92,477;99,792;90,089;73,055;57,002;60,629;77,284;87,739;75,151;66,334;72,365;73,055;78,727;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/11/2018;;1;1;219,059;96,518;127,952;30;1;1;1;1;;0;96,518;100,617;101,444;105,621;109,009;102,69;104,361;124,759;132,478;136,172;140,374;141,786;124,759;112,007;104,361;98,559;106,464;114,602;118,978;118,978;109,436;100,617;100,617;103,107;110,719;186,609;196,668;203,667;213,512;219,059;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/10/2018;;1;1;189,764;102,274;142,281;14;30;1;1;1;;0;125,658;139,905;148,445;158,654;155,71;153,76;154,734;150,37;166,606;178,812;175,73;171,144;186,609;189,764;177,782;174,706;166,104;163,606;151,335;130,646;115,908;104,781;104,781;108,584;116,782;114,168;108,584;105,201;104,361;102,274;105,201;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/09/2018;;1;1;138,968;97,741;130,392;28;30;1;1;1;;0;132,019;131,561;132,478;130,646;134,32;135,708;129,734;132,019;134,32;132,019;129,278;128,369;127,463;131,103;132,478;127,011;129,734;127,463;132,938;129,734;133,398;133,398;135,245;133,859;133,398;132,019;135,245;138,968;118,097;97,741;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58183000;1;01/08/2018;;1;1;175,218;132,478;148,904;6;19;1;1;1;;0;155,71;154,734;165,103;168,113;174,706;175,218;169,121;174,706;170,132;167,108;161,123;155,222;151,335;143,677;138,968;145,101;140,374;135,708;132,478;133,398;133,859;135,245;136,172;138,968;137,102;138,968;138,968;138,501;137,568;134,32;134,32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/07/2018;;1;1;163,606;141,315;151,925;4;22;1;1;1;;0;152,788;160,133;162,611;163,606;161,123;157,67;156,199;154,247;157,67;157,67;162,114;157,67;154,734;149,406;147,487;148,926;153,274;152,788;149,888;146,054;142,73;141,315;143,203;142,73;141,786;141,315;144,151;146,054;150,37;154,734;155,222;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
