EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58790002;1;01/07/2019;;1;1;37,488;23,084;29,503;3;23;1;1;1;;0;29,492;33,053;37,488;37,112;37,488;34,88;31,257;31,971;29,492;26,735;26,396;29,492;32,691;33,416;33,053;33,053;31,613;26,059;25,723;26,059;25,723;23,409;23,084;23,736;28,448;28,448;29,492;28,448;28,795;25,388;23,084;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/06/2019;;1;1;46,452;31,613;36,961;14;2;1;1;1;;0;42,874;31,613;32,331;35,619;36,363;37,112;37,488;36,737;34,145;31,971;34,88;42,874;42,482;46,452;36,737;45,65;33,78;34,145;33,78;33,053;31,971;38,623;37,488;37,112;35,619;38,623;38,243;38,623;39,386;33,053;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/05/2019;;1;1;69,684;36,737;47,875;19;6;1;1;1;;0;40,538;44,057;46,855;48,071;42,482;36,737;41,312;41,312;41,312;42,482;42,482;41,701;46,855;47,665;58,132;49,707;52,609;65,067;69,684;68,132;61,176;55,562;49,707;48,478;47,26;40,538;37,112;46,855;46,051;42,482;41,701;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/04/2019;;1;1;78,45;31,971;59,232;10;29;1;1;1;;0;56,843;76,021;58,132;51,359;56,415;55,988;67,361;72,037;74,418;78,45;66,593;59,431;59,866;57,272;56,843;58,564;52,609;55,988;58,132;78,45;75,218;67,361;68,132;58,132;56,843;49,296;46,855;37,488;31,971;34,88;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/03/2019;;1;1;207,156;50,944;96,714;21;18;1;1;1;;0;151,949;175,46;173,271;168,924;152,99;144,733;98,874;89,296;69,684;63,554;57,702;57,702;63,554;61,615;67,361;58,564;55,988;50,944;61,176;112,508;207,156;159,293;121,955;91,872;72,037;79,266;61,615;80,907;60,302;65,828;62,055;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/03/2019;;1;1;203,926;50,867;98,889;21;18;1;1;1;;0;151,245;173,589;171,503;167,363;152,232;144,416;101,315;92,375;74,12;68,424;60,25;60,25;68,424;66,339;71,961;61,581;57,626;50,867;65,65;114,076;203,926;158,21;122,943;94,777;76,307;83,031;66,339;84,558;64,281;70,537;67,031;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/02/2019;;1;1;109,729;31,613;69,446;22;4;1;1;1;;0;39,769;39,386;34,88;31,613;40,153;40,538;45,25;58,997;67,361;74,418;89,296;91,872;80,907;85,904;91,011;69,684;52,609;53,448;74,418;74,418;89,296;109,729;98,874;79,266;70,465;81,732;77,637;101,549;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58790002;1;01/01/2019;;1;1;243,231;33,053;84,975;2;28;1;1;1;;0;238,298;243,231;228,544;154,034;162,48;136,647;127,757;71,249;54,291;55,137;55,137;76,021;88,443;94,476;65,067;58,132;46,051;49,296;57,272;56,843;87,594;53,448;46,051;46,051;45,25;45,25;36,737;33,053;41,312;40,538;40,538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58790002;1;01/12/2018;;1;1;379,691;56,843;146,244;9;26;1;1;1;;0;120,043;130,696;273,608;338,236;211,841;186,556;189,933;246,956;379,691;230,968;204,828;146,781;100,654;91,011;89,296;87,594;89,296;77,637;60,738;75,218;63,554;57,272;60,302;58,997;66,593;56,843;139,659;158,236;144,733;197,902;197,902;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/11/2018;;1;1;265,89;44,454;146,275;22;3;1;1;1;;0;48,478;51,775;44,454;51,359;53,028;141,68;143,713;142,695;173,271;244,47;230,968;193,334;99,763;64,309;53,448;60,738;97,106;145,756;170,007;238,298;179,868;265,89;263,335;224,926;227,336;233,402;152,99;112,508;142,695;136,647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58790002;1;01/10/2018;;1;1;59,866;34,512;46,58;20;1;1;1;1;;0;34,512;42,482;38,243;40,538;35,619;40,538;36,737;41,701;36,737;43,267;39,004;41,701;39,386;46,452;40,538;42,874;51,359;52,609;58,564;59,866;56,843;44,454;56,843;54,713;56,843;50,944;52,191;53,448;54,291;52,191;48,478;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/09/2018;;1;1;40,925;20,535;31,895;16;10;1;1;1;;0;31,971;30,901;30,547;30,194;30,901;31,257;27,075;23,084;22,118;20,535;22,761;23,409;27,416;30,194;31,971;40,925;31,613;37,112;37,112;30,901;34,88;37,488;35,619;35,99;37,488;35,619;34,88;38,623;39,004;35,249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58790002;1;01/08/2018;;1;1;114,375;32,691;49,179;9;30;1;1;1;;0;42,482;46,452;47,26;48,071;46,452;47,665;50,944;53,448;114,375;90,152;61,176;50,531;49,707;49,707;49,296;42,482;47,665;48,071;47,665;48,887;44,057;48,887;48,887;48,887;46,051;35,99;36,363;33,78;33,416;32,691;33,053;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/07/2018;;1;1;49,296;35,99;43,084;3;29;1;1;1;;0;48,887;48,478;49,296;44,454;40,925;43,662;42,482;42,091;42,482;43,267;45,65;46,051;43,267;43,267;42,874;43,267;42,874;42,482;42,482;42,482;42,482;45,25;48,478;40,538;40,153;39,769;39,004;39,386;35,99;39,386;44,454;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/06/2018;;1;1;60,302;39,769;46,128;5;17;1;1;1;;0;41,701;47,26;47,665;48,478;60,302;47,665;44,057;44,454;45,25;42,874;44,057;44,454;45,25;45,25;45,25;44,851;39,769;43,662;43,662;46,051;47,26;46,051;49,296;45,65;47,26;46,855;44,454;46,855;50,531;47,665;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/05/2018;;1;1;58,564;37,865;49,861;7;15;1;1;1;;0;55,137;51,359;53,869;54,291;53,869;51,775;58,564;53,448;52,609;57,702;42,482;49,707;45,65;40,538;37,865;49,296;53,869;58,132;50,531;50,944;46,051;46,051;45,65;47,665;48,887;48,478;45,25;53,028;47,665;47,665;47,665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58790002;1;01/04/2018;;1;1;216,566;46,051;83,272;6;15;1;1;1;;0;55,988;49,296;77,637;115,313;157,182;216,566;188,805;138,652;131,681;131,681;97,989;86,747;86,747;56,415;46,051;51,775;57,702;76,021;64,309;77,637;57,702;50,118;48,478;54,291;53,869;48,887;50,944;57,272;55,562;56,843;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/03/2018;;1;1;667,182;55,988;227,436;12;31;1;1;1;;0;191,064;185,435;184,316;262,062;268,453;249,45;238,298;255,727;589,792;295,916;385,547;667,182;517,63;205,99;209,494;171,092;217,753;221,328;131,681;164,618;150,91;177,659;194,472;195,613;142,695;143,713;109,729;106,976;91,011;68,907;55,988;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/02/2018;;1;1;276,198;44,454;118,687;5;15;1;1;1;;0;237,07;223,724;129,714;182,087;276,198;145,756;241,994;214,199;207,156;184,316;91,011;85,063;65,067;49,707;44,454;50,944;50,944;50,944;55,562;65,828;85,904;72,827;71,249;68,132;64,309;65,067;91,011;152,99;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58790002;1;01/01/2018;;1;1;268,453;33,416;86,783;6;25;1;1;1;;0;77,637;68,907;73,621;74,418;101,549;268,453;214,199;260,79;258,254;72,827;63,554;58,564;69,684;62,803;65,828;53,869;48,887;58,132;47,665;44,057;37,488;51,359;47,26;48,887;33,416;37,488;37,865;43,267;40,153;43,267;226,129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58790002;1;01/12/2017;;1;1;228,544;33,053;90,298;5;24;1;1;1;;0;123,878;191,064;173,271;182,087;228,544;227,336;196,756;85,904;56,843;49,296;55,562;123,878;91,872;58,997;81,732;80,085;63,554;63,554;42,482;42,091;38,243;38,243;47,26;33,053;36,737;33,053;42,874;49,707;81,732;94,476;85,063;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/11/2017;;1;1;101,549;23,409;46,194;24;3;1;1;1;;0;30,901;24,063;23,409;24,063;25,055;28,448;27,416;25,723;28,448;31,257;27,075;50,531;44,454;37,112;37,112;33,78;31,613;30,901;31,613;35,619;44,454;49,707;85,904;101,549;95,35;77,637;71,249;81,732;75,218;74,418;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/10/2017;;1;1;33,053;11,858;20,26;28;19;1;1;1;;0;14,306;16,014;17,186;16,891;18,685;19,296;18,081;17,483;18,382;16,014;18,081;17,781;17,781;17,186;17,483;17,186;17,186;14,587;11,858;17,781;18,685;18,685;19,604;23,409;20,849;30,547;31,971;33,053;30,901;30,547;30,547;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/09/2017;;1;1;34,145;8,348;20,385;7;26;1;1;1;;0;24,063;23,084;24,063;23,084;28,103;26,059;34,145;20,535;20,535;19,296;19,604;19,296;19,604;19,913;20,535;20,223;20,223;20,223;20,223;20,223;20,223;20,223;20,223;13,75;11,595;8,348;26,735;12,123;16,597;18,685;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/08/2017;;1;1;30,901;17,781;23,658;2;9;1;1;1;;0;26,735;30,901;29,492;21,164;21,48;23,409;21,48;23,409;17,781;23,736;24,723;24,392;23,409;23,409;23,409;23,736;20,535;23,736;24,723;18,99;24,723;24,063;21,48;19,913;28,795;23,409;22,118;24,723;23,736;23,736;26,059;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/07/2017;;1;1;42,091;23,736;36,543;12;30;1;1;1;;0;39,386;36,737;33,416;39,769;39,004;37,488;37,488;37,488;35,99;31,971;37,488;42,091;39,769;37,112;39,004;34,88;38,623;35,249;39,004;38,623;38,623;38,623;37,488;38,623;40,153;42,091;35,99;37,488;24,723;23,736;24,723;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/06/2017;;1;1;48,478;31,613;38,588;1;12;1;1;1;;0;48,478;47,665;47,665;38,623;34,88;37,112;35,99;48,478;39,386;36,737;34,88;31,613;35,249;36,363;34,512;36,363;38,623;32,331;31,971;37,488;37,488;39,004;41,701;41,701;39,004;39,769;37,112;39,769;36,363;41,312;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/05/2017;;1;1;110,653;35,249;49,835;24;15;1;1;1;;0;38,243;36,363;40,538;45,25;46,051;42,874;46,452;42,482;43,662;43,662;44,057;47,26;44,851;39,004;35,249;43,662;39,004;41,701;40,925;42,874;46,051;57,702;82,56;110,653;86,747;65,067;54,713;50,118;46,051;49,296;51,775;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/04/2017;;1;1;53,448;30,194;43,664;11;17;1;1;1;;0;48,071;40,153;35,619;46,855;48,071;48,071;46,855;47,665;53,028;48,478;53,448;33,416;36,737;44,851;41,701;41,312;30,194;44,851;50,944;49,296;50,531;49,296;44,454;33,053;46,855;49,707;31,257;35,99;38,243;40,925;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/03/2017;;1;1;243,231;33,416;60,448;21;19;1;1;1;;0;49,707;54,291;54,291;48,478;42,482;37,488;50,118;50,118;50,118;48,071;47,26;48,887;46,855;46,051;48,071;40,538;39,769;36,363;33,416;213,019;243,231;124,844;61,615;48,887;48,887;50,118;33,78;34,145;46,855;48,071;48,071;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/02/2017;;1;1;221,328;31,613;72,218;8;20;1;1;1;;0;51,359;55,988;52,609;52,609;48,887;83,391;148,84;221,328;208,324;152,99;90,152;67,361;66,593;54,291;48,071;48,887;48,071;48,071;38,243;31,613;43,662;51,775;51,775;52,191;51,775;60,738;45,65;46,855;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58790002;1;01/01/2017;;1;1;223,724;36,363;69,733;15;23;1;1;1;;0;42,091;50,118;56,843;59,431;58,997;55,988;55,988;48,887;65,828;65,828;58,132;57,702;110,653;142,695;223,724;191,064;110,653;56,843;58,997;58,132;58,132;36,737;36,363;43,267;48,071;54,291;54,291;54,713;38,243;53,869;55,137;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/12/2016;;1;1;435,114;40,538;186,405;15;31;1;1;1;;0;276,198;248,202;168,924;112,508;108,809;141,68;162,48;134,652;93,605;271,026;264,612;254,467;213,019;233,402;435,114;415,323;328,497;255,727;222,525;218,942;191,064;131,681;123,878;103,346;87,594;59,431;68,132;106,065;159,293;147,809;40,538;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58790002;1;01/11/2016;;1;1;422,895;26,735;107,053;17;1;1;1;1;;0;26,735;26,735;26,735;26,735;26,735;30,194;28,795;32,691;30,194;34,512;31,613;28,448;37,488;176,558;274,902;387,017;422,895;305,288;233,402;218,942;137,648;103,346;42,874;43,267;50,944;53,869;50,944;80,085;120,043;121,955;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58790002;1;01/10/2016;;1;1;48,071;23,409;32,634;8;30;1;1;1;;0;23,736;25,388;27,759;31,613;37,865;39,769;39,004;48,071;44,454;33,416;40,153;41,312;31,257;33,78;34,512;32,691;32,331;32,331;32,331;30,194;29,492;35,99;37,488;30,194;29,492;30,194;30,901;24,723;24,392;23,409;23,409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58790002;1;01/09/2016;;1;1;30,901;18,081;23,316;21;2;1;1;1;;0;20,223;18,081;18,382;18,382;18,382;18,382;18,382;18,081;18,081;18,382;18,382;18,382;20,849;22,438;28,448;26,735;24,723;24,723;24,723;30,547;30,901;29,143;29,143;29,143;25,055;28,448;26,735;26,059;26,396;23,736;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
