EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58305001;1;01/08/2020;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58305001;1;01/07/2020;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58305001;1;01/06/2020;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
58305001;1;01/05/2020;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58305001;1;01/04/2020;;1;1;;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58305001;1;01/03/2020;;1;1;;;;;;0;0;0;0;0;758,635;550,939;625,519;553,195;519,626;;;;556,583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58305001;1;01/01/2020;;1;1;399,592;180,762;231,794;6;31;1;1;1;;0;190,72;199,943;203,319;229,003;296,71;399,592;221,232;291,236;294,883;238,575;203,319;251,756;230,737;258,845;194,901;197,419;354,46;232,474;192,39;199,943;201,63;189,052;199,101;331,855;222,092;193,226;189,886;195,74;210,106;190,72;180,762;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58305001;1;01/12/2019;;1;1;325,32;178,29;214,218;20;3;1;1;1;;0;210,958;240,324;178,29;217,796;196,579;203,319;205,012;184,069;184,897;199,101;223,816;223,816;207,556;199,101;199,943;196,579;205,859;222,092;243,83;325,32;252,64;191,554;314,181;260,624;204,165;190,72;187,388;194,901;193,226;191,554;191,554;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58305001;1;01/11/2019;;1;1;253,525;176,645;197,543;16;3;1;1;1;;0;194,901;177,467;176,645;190,72;199,943;205,012;198,26;196,579;191,554;194,901;196,579;199,101;191,554;189,886;190,72;253,525;176,645;189,886;195,74;198,26;192,39;209,255;206,707;224,679;188,22;195,74;188,22;187,388;235,085;190,72;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58305001;1;01/10/2019;;1;1;220,372;183,241;195,968;30;13;1;1;1;;0;186,557;194,901;198,26;194,901;191,554;188,22;188,22;209,255;211,81;194,063;195,74;192,39;183,241;189,052;189,052;185,727;191,554;195,74;194,901;207,556;197,419;191,554;189,886;193,226;193,226;208,405;196,579;199,943;212,663;220,372;189,052;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
