EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58380001;1;01/08/2020;;1;1;77,651;66,642;72,701;23;15;1;1;1;0;0;76,285;75,38;75,38;75,38;74,93;74,93;75,38;75,38;75,38;75,832;74,93;73,144;70,506;67,066;66,642;70,506;70,506;70,942;70,506;70,942;69,638;70,942;77,651;76,739;72,701;71,38;71,38;71,819;68,775;71,819;70,942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58380001;1;01/07/2020;;1;1;78,57;72,701;75,748;7;3;1;1;1;;0;76,739;76,285;72,701;75,832;76,285;76,285;78,57;77,194;76,739;75,832;76,285;74,482;75,38;76,285;74,93;74,482;76,285;76,285;75,38;75,832;75,38;75,38;75,38;75,832;76,285;76,285;76,285;75,38;73,144;74,482;76,285;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58380001;1;01/06/2020;;1;1;77,194;70,942;75,746;8;30;1;1;1;;0;76,285;76,285;75,832;76,285;76,739;75,38;75,38;77,194;76,285;76,285;76,285;76,285;76,285;75,38;75,38;77,194;76,285;74,93;76,285;74,034;75,832;76,285;76,285;76,285;76,285;75,832;75,38;73,144;75,832;70,942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58380001;1;01/05/2020;;1;1;98,757;72,259;77,544;20;7;1;1;1;;0;77,194;77,194;78,11;78,11;77,194;75,38;72,259;76,285;76,285;75,832;76,285;77,194;77,194;76,285;75,832;77,651;76,285;76,285;76,285;98,757;81,357;77,194;75,832;78,11;79,957;78,11;76,285;76,285;76,285;76,285;76,285;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58380001;1;01/04/2020;;1;1;132,684;73,588;81,005;1;20;1;1;1;;0;132,684;88,056;92,507;82,77;81,357;80,422;82,77;79,957;79,957;79,957;79,957;80,422;79,957;79,957;79,957;79,957;79,031;79,031;74,034;73,588;74,482;78,11;77,194;77,194;73,588;77,194;77,194;76,285;76,285;76,285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58380001;1;01/03/2020;;1;1;732,951;80,889;206,093;2;26;1;1;1;;0;474,369;732,951;540,079;608,935;452,762;393,82;240,292;205,538;161,589;349,378;153,114;91,508;87,082;94,015;82,298;117,143;90,02;84,673;92,507;118,664;132,684;135,078;101,619;82,77;81,827;80,889;81,357;80,889;80,889;128,731;231,413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58380001;1;01/02/2020;;1;1;546,825;78,11;303,413;14;2;1;1;1;;0;80,422;78,11;192,579;215,941;304,786;473,087;265,605;324,57;306,961;245,278;215,941;414,343;466,7;546,825;508,139;493,746;381,932;364,357;218,811;201,803;260,467;182,62;373,692;221,696;179,048;241,286;355,111;336,888;348,236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;
58380001;1;01/01/2020;;1;1;356,262;74,482;128,387;7;2;1;1;1;;0;75,38;74,482;139,102;95,222;98,757;230,434;356,262;163,305;186,219;209,299;121,729;118,664;113,372;117,903;118,664;84,195;280,193;120,193;116,385;86,598;82,77;82,77;82,77;82,77;252,324;98,757;79,957;78,11;78,11;77,194;78,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58380001;1;01/12/2019;;1;1;279,141;75,38;95,73;24;5;1;1;1;;0;76,285;79,493;128,731;76,285;75,38;75,38;75,38;75,38;75,38;77,194;85,152;108,171;115,629;90,515;78,11;77,194;75,38;75,38;75,38;83,718;164,165;124,823;120,193;279,141;94,521;105,24;84,673;84,673;78,11;76,285;76,285;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58380001;1;01/11/2019;;1;1;135,879;73,588;79,192;30;27;1;1;1;;0;80,422;75,38;74,482;74,482;75,38;75,38;75,38;74,482;74,482;74,482;74,482;74,482;74,482;74,482;74,93;77,194;100,184;79,031;75,38;75,832;77,651;76,285;75,38;77,194;90,02;83,718;73,588;75,38;75,832;135,879;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
