EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58630002;1;01/06/2020;;1;1;116,954;98,361;100,965;7;28;1;1;1;;0;112,667;99,308;101,545;103,169;101,223;99,308;116,954;99,308;100,262;99,308;99,308;101,868;99,625;99,625;99,625;99,308;99,308;99,308;99,943;99,308;99,625;99,308;106,482;99,308;99,308;99,308;98,991;98,361;98,991;98,991;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58630002;1;01/05/2020;;1;1;107,155;98,361;99,845;28;1;1;1;1;0;0;98,361;98,991;98,991;98,676;98,676;98,991;100,262;101,545;98,991;98,991;98,991;98,991;98,991;98,991;98,991;98,991;98,676;98,991;99,625;99,308;98,991;98,991;98,991;100,262;103,825;102,843;98,991;107,155;103,497;99,625;98,991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58630002;1;01/04/2020;;1;1;259,436;96,801;116,087;1;17;1;1;1;;0;259,436;231,268;127,485;98,991;100,902;130,635;121,375;100,581;98,048;132,234;157,772;118,412;107,155;102,192;97,735;98,048;96,801;97,422;97,422;97,735;97,735;97,735;97,422;98,048;98,676;98,991;126,321;98,676;98,991;98,361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58630002;1;01/03/2020;;1;1;1284,305;98,048;347,094;4;13;1;1;1;;0;661,034;1159,621;1070,001;1284,305;1018,608;681,156;443,36;430,356;250,429;648,898;273,083;132,234;98,048;98,361;117,317;121,001;141,321;137,543;165,847;132,636;315,992;179,893;115,869;98,676;99,625;157,307;98,991;98,676;98,676;98,991;332,057;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58630002;1;01/02/2020;;1;1;1018,608;155,001;485,394;13;2;1;1;1;;0;176,803;155,001;290,397;289,625;613,595;825,664;693,79;436,818;371,877;285,795;262,261;577,165;1018,608;979,833;811,063;713,105;590,958;569,018;559,635;229,357;365,29;332,921;426,092;275,292;180,413;255,246;641,407;497,481;651,914;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
58630002;1;01/01/2020;;1;1;569,018;98,361;195,148;7;20;1;1;1;;0;101,868;141,746;422,917;100,902;186,743;546,453;569,018;316,821;389,272;425,031;159,173;151,37;200,524;233,192;154,544;102,192;139,631;187,278;132,636;98,361;105,812;98,676;99,625;99,308;188,354;136,302;99,308;127,096;137,128;98,676;99,625;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58630002;1;01/12/2019;;1;1;698,578;93,139;152,643;24;20;1;1;1;;0;96,491;122,879;116,954;96,491;96,491;97,735;98,676;122,879;98,676;98,361;193,256;237,732;268,711;154,087;98,048;105,146;98,048;98,048;103,169;93,139;99,308;141,321;103,497;698,578;491,475;197,702;99,943;106,818;98,048;98,991;101,223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58630002;1;01/11/2019;;1;1;152,271;96,182;100,146;25;30;1;1;1;;0;98,991;98,676;97,422;97,422;98,048;98,048;98,676;97,735;98,048;98,048;98,048;97,735;98,048;98,048;98,361;98,048;97,735;97,735;97,111;109,882;97,422;98,048;98,048;98,676;152,271;97,422;98,361;98,048;98,048;96,182;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58630002;1;01/10/2019;;1;1;114,081;94,043;97,14;31;28;1;1;1;;0;97,735;97,111;97,735;97,735;96,801;96,801;97,111;97,422;96,801;96,801;98,361;97,735;96,801;99,625;100,581;99,308;95,261;95,567;95,261;94,346;95,874;95,261;94,65;94,65;94,955;95,261;94,955;94,043;94,043;98,676;114,081;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58630002;1;01/09/2019;;1;1;113,019;96,491;98,196;4;17;1;1;1;;0;97,111;97,111;97,422;113,019;96,801;97,111;97,735;97,422;97,735;100,902;106,818;97,735;96,801;97,111;97,111;97,422;96,491;97,111;96,801;97,111;96,801;97,422;97,422;97,111;98,361;97,111;97,111;97,111;97,422;97,111;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58630002;1;01/08/2019;;1;1;103,169;93,139;97,61;11;18;1;1;1;;0;97,111;96,182;96,801;96,801;97,111;96,491;96,801;97,735;101,545;101,868;103,169;99,943;97,111;97,422;97,111;97,422;97,111;93,139;96,801;96,801;97,111;96,801;102,192;96,801;96,491;96,801;96,801;97,111;97,111;97,422;96,801;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58630002;1;01/07/2019;;1;1;137,543;96,182;98,456;7;8;3;3;3;;0;96,491;97,111;97,111;97,111;97,735;96,801;137,543;96,182;96,491;96,491;96,491;96,491;97,422;97,111;97,111;97,111;97,735;97,111;97,111;97,422;97,422;97,735;97,422;98,048;97,111;97,422;97,422;97,735;97,422;97,111;97,111;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
58630002;1;01/06/2019;;1;1;132,636;95,874;98,996;28;27;1;1;1;;0;96,801;97,111;98,048;99,308;96,801;96,182;98,361;97,735;99,943;99,308;96,801;96,801;97,111;97,111;97,111;97,111;105,812;106,818;97,111;97,111;96,182;96,182;97,111;97,111;96,182;96,182;95,874;132,636;96,801;97,111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58630002;1;01/05/2019;;1;1;493,87;95,874;113,305;20;21;1;1;1;;0;96,491;97,111;96,801;96,801;104,815;96,182;96,801;97,111;99,308;100,902;97,422;96,491;97,111;97,111;127,485;116,591;96,182;97,111;135,48;493,87;95,874;97,422;96,491;96,491;96,801;96,801;108,511;96,801;96,491;96,801;96,801;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58630002;1;01/04/2019;;1;1;202,806;96,182;112,797;9;19;1;1;1;;0;149,137;96,801;97,422;97,111;99,308;118,046;151,37;99,943;202,806;171,252;105,479;97,735;131,432;97,422;96,801;96,491;114,081;122,879;96,182;96,491;151,37;96,801;96,801;122,125;96,491;96,182;96,491;96,491;96,801;96,182;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
58630002;1;01/03/2019;;1;1;566,324;95,874;174,804;19;29;2;2;2;;0;200,524;178,342;337,268;98,361;171,751;143,887;100,581;98,361;99,943;98,676;98,361;98,361;98,676;97,111;97,111;97,735;97,735;97,422;566,324;405,296;415,586;537,38;276,772;220;99,308;98,991;100,581;98,361;95,874;98,048;96,182;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;
58630002;1;01/02/2019;;1;1;235,778;94,65;118,962;24;13;1;1;1;;0;108,853;97,111;95,567;96,801;95,567;97,422;134,663;142,6;95,874;97,111;96,491;95,261;94,65;115,51;99,625;98,991;98,676;99,308;218,776;161,056;133,444;98,048;101,545;235,778;102,517;179,375;141,321;98,991;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
58630002;1;01/01/2019;;1;1;392,235;94,346;130,704;6;31;1;1;1;;0;110,227;97,735;98,361;160,584;348,793;392,235;298,203;155,001;97,735;98,048;99,625;100,902;98,048;97,111;97,422;98,361;166,819;113,726;98,361;98,361;100,262;101,545;107,493;98,048;100,902;96,801;138,793;98,361;94,65;94,955;94,346;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58630002;1;01/12/2018;;1;1;225,575;96,801;115,162;3;5;1;1;1;;0;97,735;143,028;225,575;115,869;96,801;97,422;104,815;127,876;118,046;133,849;124,018;99,943;103,169;103,497;105,479;104,815;101,545;108,171;100,902;97,735;116,23;97,735;97,422;97,111;144,319;190,52;96,801;126,708;97,111;97,735;98,048;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
